,T1_Spelling,T1_ID,T1_Seed,T2_Spelling,T2_ID,T2_Seed
136,texas,3400,1,ucla,3417,2
137,texas,3400,1,stanford,3390,2
138,texas,3400,1,lsu,3261,3
139,texas,3400,1,uconn,3163,3
140,texas,3400,1,nc state,3301,3
141,texas,3400,1,oregon state,3333,3
142,texas,3400,1,virginia tech,3439,4
143,texas,3400,1,kansas state,3243,4
144,texas,3400,1,indiana,3231,4
145,texas,3400,1,gonzaga,3211,4
146,texas,3400,1,baylor,3124,5
147,texas,3400,1,colorado,3160,5
148,texas,3400,1,utah,3428,5
149,texas,3400,1,oklahoma,3328,5
150,texas,3400,1,tennessee,3397,6
151,texas,3400,1,nebraska,3304,6
152,texas,3400,1,syracuse,3393,6
153,texas,3400,1,louisville,3257,6
154,texas,3400,1,duke,3181,7
155,texas,3400,1,ole miss,3279,7
156,texas,3400,1,creighton,3166,7
157,texas,3400,1,iowa state,3235,7
158,texas,3400,1,kansas,3242,8
159,texas,3400,1,alabama,3104,8
160,texas,3400,1,north carolina,3314,8
161,texas,3400,1,west virginia,3452,8
162,texas,3400,1,michigan,3276,9
163,texas,3400,1,florida state,3199,9
164,texas,3400,1,michigan state,3277,9
165,texas,3400,1,princeton,3343,9
166,texas,3400,1,richmond,3350,10
167,texas,3400,1,marquette,3266,10
168,texas,3400,1,unlv,3424,10
169,texas,3400,1,maryland,3268,10
170,texas,3400,1,middle tennessee,3292,11
171,texas,3400,1,texas a&m,3401,11
172,texas,3400,1,green bay,3453,11
173,texas,3400,1,auburn,3120,11
174,texas,3400,1,arizona,3112,11
175,texas,3400,1,florida gulf coast,3195,12
176,texas,3400,1,south dakota state,3355,12
177,texas,3400,1,columbia,3162,12
178,texas,3400,1,vanderbilt,3435,12
179,texas,3400,1,drake,3179,12
180,texas,3400,1,portland,3339,13
181,texas,3400,1,fairfield,3193,13
182,texas,3400,1,marshall,3267,13
183,texas,3400,1,uc irvine,3414,13
184,texas,3400,1,chattanooga,3151,14
185,texas,3400,1,jackson state,3238,14
186,texas,3400,1,rice,3349,14
187,texas,3400,1,eastern washington,3186,14
188,texas,3400,1,maine,3263,15
189,texas,3400,1,california baptist,3465,15
190,texas,3400,1,kent state,3245,15
191,texas,3400,1,norfolk state,3313,15
192,texas,3400,1,sacred heart,3357,16
193,texas,3400,1,holy cross,3221,16
194,texas,3400,1,presbyterian,3342,16
195,texas,3400,1,drexel,3180,16
196,texas,3400,1,ut martin,3404,16
197,texas,3400,1,a&m-corpus christi,3394,16
198,iowa,3234,1,ohio state,3326,2
199,iowa,3234,1,notre dame,3323,2
200,iowa,3234,1,ucla,3417,2
201,iowa,3234,1,stanford,3390,2
202,iowa,3234,1,lsu,3261,3
203,iowa,3234,1,uconn,3163,3
204,iowa,3234,1,nc state,3301,3
205,iowa,3234,1,oregon state,3333,3
206,iowa,3234,1,virginia tech,3439,4
207,iowa,3234,1,kansas state,3243,4
208,iowa,3234,1,indiana,3231,4
209,iowa,3234,1,gonzaga,3211,4
210,iowa,3234,1,baylor,3124,5
211,iowa,3234,1,colorado,3160,5
212,iowa,3234,1,utah,3428,5
213,iowa,3234,1,oklahoma,3328,5
214,iowa,3234,1,tennessee,3397,6
215,iowa,3234,1,nebraska,3304,6
216,iowa,3234,1,syracuse,3393,6
217,iowa,3234,1,louisville,3257,6
218,iowa,3234,1,duke,3181,7
219,iowa,3234,1,ole miss,3279,7
220,iowa,3234,1,creighton,3166,7
221,iowa,3234,1,iowa state,3235,7
222,iowa,3234,1,kansas,3242,8
223,iowa,3234,1,alabama,3104,8
224,iowa,3234,1,north carolina,3314,8
225,iowa,3234,1,west virginia,3452,8
226,iowa,3234,1,michigan,3276,9
227,iowa,3234,1,florida state,3199,9
228,iowa,3234,1,michigan state,3277,9
229,iowa,3234,1,princeton,3343,9
230,iowa,3234,1,richmond,3350,10
231,iowa,3234,1,marquette,3266,10
232,iowa,3234,1,unlv,3424,10
233,iowa,3234,1,maryland,3268,10
234,iowa,3234,1,middle tennessee,3292,11
235,iowa,3234,1,texas a&m,3401,11
236,iowa,3234,1,green bay,3453,11
237,iowa,3234,1,auburn,3120,11
238,iowa,3234,1,arizona,3112,11
239,iowa,3234,1,florida gulf coast,3195,12
240,iowa,3234,1,south dakota state,3355,12
241,iowa,3234,1,columbia,3162,12
242,iowa,3234,1,vanderbilt,3435,12
243,iowa,3234,1,drake,3179,12
244,iowa,3234,1,portland,3339,13
245,iowa,3234,1,fairfield,3193,13
246,iowa,3234,1,marshall,3267,13
247,iowa,3234,1,uc irvine,3414,13
248,iowa,3234,1,chattanooga,3151,14
249,iowa,3234,1,jackson state,3238,14
250,iowa,3234,1,rice,3349,14
251,iowa,3234,1,eastern washington,3186,14
252,iowa,3234,1,maine,3263,15
253,iowa,3234,1,california baptist,3465,15
254,iowa,3234,1,kent state,3245,15
255,iowa,3234,1,norfolk state,3313,15
256,iowa,3234,1,sacred heart,3357,16
257,iowa,3234,1,holy cross,3221,16
258,iowa,3234,1,presbyterian,3342,16
259,iowa,3234,1,drexel,3180,16
260,iowa,3234,1,ut martin,3404,16
261,iowa,3234,1,a&m-corpus christi,3394,16
262,ohio state,3326,2,notre dame,3323,2
263,ohio state,3326,2,ucla,3417,2
264,ohio state,3326,2,stanford,3390,2
265,ohio state,3326,2,lsu,3261,3
266,ohio state,3326,2,uconn,3163,3
267,ohio state,3326,2,nc state,3301,3
268,ohio state,3326,2,oregon state,3333,3
269,ohio state,3326,2,virginia tech,3439,4
270,ohio state,3326,2,kansas state,3243,4
271,ohio state,3326,2,indiana,3231,4
272,ohio state,3326,2,gonzaga,3211,4
273,ohio state,3326,2,baylor,3124,5
274,ohio state,3326,2,colorado,3160,5
275,ohio state,3326,2,utah,3428,5
276,ohio state,3326,2,oklahoma,3328,5
277,ohio state,3326,2,tennessee,3397,6
278,ohio state,3326,2,nebraska,3304,6
279,ohio state,3326,2,syracuse,3393,6
280,ohio state,3326,2,louisville,3257,6
281,ohio state,3326,2,duke,3181,7
282,ohio state,3326,2,ole miss,3279,7
283,ohio state,3326,2,creighton,3166,7
284,ohio state,3326,2,iowa state,3235,7
285,ohio state,3326,2,kansas,3242,8
286,ohio state,3326,2,alabama,3104,8
287,ohio state,3326,2,north carolina,3314,8
288,ohio state,3326,2,west virginia,3452,8
289,ohio state,3326,2,michigan,3276,9
290,ohio state,3326,2,florida state,3199,9
291,ohio state,3326,2,michigan state,3277,9
292,ohio state,3326,2,princeton,3343,9
293,ohio state,3326,2,richmond,3350,10
294,ohio state,3326,2,marquette,3266,10
295,ohio state,3326,2,unlv,3424,10
296,ohio state,3326,2,maryland,3268,10
297,ohio state,3326,2,middle tennessee,3292,11
298,ohio state,3326,2,texas a&m,3401,11
299,ohio state,3326,2,green bay,3453,11
300,ohio state,3326,2,auburn,3120,11
301,ohio state,3326,2,arizona,3112,11
302,ohio state,3326,2,florida gulf coast,3195,12
303,ohio state,3326,2,south dakota state,3355,12
304,ohio state,3326,2,columbia,3162,12
305,ohio state,3326,2,vanderbilt,3435,12
306,ohio state,3326,2,drake,3179,12
307,ohio state,3326,2,portland,3339,13
308,ohio state,3326,2,fairfield,3193,13
309,ohio state,3326,2,marshall,3267,13
310,ohio state,3326,2,uc irvine,3414,13
311,ohio state,3326,2,chattanooga,3151,14
312,ohio state,3326,2,jackson state,3238,14
313,ohio state,3326,2,rice,3349,14
314,ohio state,3326,2,eastern washington,3186,14
315,ohio state,3326,2,maine,3263,15
316,ohio state,3326,2,california baptist,3465,15
317,ohio state,3326,2,kent state,3245,15
318,ohio state,3326,2,norfolk state,3313,15
319,ohio state,3326,2,sacred heart,3357,16
320,ohio state,3326,2,holy cross,3221,16
321,ohio state,3326,2,presbyterian,3342,16
322,ohio state,3326,2,drexel,3180,16
323,ohio state,3326,2,ut martin,3404,16
324,ohio state,3326,2,a&m-corpus christi,3394,16
325,notre dame,3323,2,ucla,3417,2
326,notre dame,3323,2,stanford,3390,2
327,notre dame,3323,2,lsu,3261,3
328,notre dame,3323,2,uconn,3163,3
329,notre dame,3323,2,nc state,3301,3
330,notre dame,3323,2,oregon state,3333,3
331,notre dame,3323,2,virginia tech,3439,4
332,notre dame,3323,2,kansas state,3243,4
333,notre dame,3323,2,indiana,3231,4
334,notre dame,3323,2,gonzaga,3211,4
335,notre dame,3323,2,baylor,3124,5
336,notre dame,3323,2,colorado,3160,5
337,notre dame,3323,2,utah,3428,5
338,notre dame,3323,2,oklahoma,3328,5
339,notre dame,3323,2,tennessee,3397,6
340,notre dame,3323,2,nebraska,3304,6
341,notre dame,3323,2,syracuse,3393,6
342,notre dame,3323,2,louisville,3257,6
343,notre dame,3323,2,duke,3181,7
344,notre dame,3323,2,ole miss,3279,7
345,notre dame,3323,2,creighton,3166,7
346,notre dame,3323,2,iowa state,3235,7
347,notre dame,3323,2,kansas,3242,8
348,notre dame,3323,2,alabama,3104,8
349,notre dame,3323,2,north carolina,3314,8
350,notre dame,3323,2,west virginia,3452,8
351,notre dame,3323,2,michigan,3276,9
352,notre dame,3323,2,florida state,3199,9
353,notre dame,3323,2,michigan state,3277,9
354,notre dame,3323,2,princeton,3343,9
355,notre dame,3323,2,richmond,3350,10
356,notre dame,3323,2,marquette,3266,10
357,notre dame,3323,2,unlv,3424,10
358,notre dame,3323,2,maryland,3268,10
359,notre dame,3323,2,middle tennessee,3292,11
360,notre dame,3323,2,texas a&m,3401,11
361,notre dame,3323,2,green bay,3453,11
362,notre dame,3323,2,auburn,3120,11
363,notre dame,3323,2,arizona,3112,11
364,notre dame,3323,2,florida gulf coast,3195,12
365,notre dame,3323,2,south dakota state,3355,12
366,notre dame,3323,2,columbia,3162,12
367,notre dame,3323,2,vanderbilt,3435,12
368,notre dame,3323,2,drake,3179,12
369,notre dame,3323,2,portland,3339,13
370,notre dame,3323,2,fairfield,3193,13
371,notre dame,3323,2,marshall,3267,13
372,notre dame,3323,2,uc irvine,3414,13
373,notre dame,3323,2,chattanooga,3151,14
374,notre dame,3323,2,jackson state,3238,14
375,notre dame,3323,2,rice,3349,14
376,notre dame,3323,2,eastern washington,3186,14
377,notre dame,3323,2,maine,3263,15
378,notre dame,3323,2,california baptist,3465,15
379,notre dame,3323,2,kent state,3245,15
380,notre dame,3323,2,norfolk state,3313,15
381,notre dame,3323,2,sacred heart,3357,16
382,notre dame,3323,2,holy cross,3221,16
383,notre dame,3323,2,presbyterian,3342,16
384,notre dame,3323,2,drexel,3180,16
385,notre dame,3323,2,ut martin,3404,16
386,notre dame,3323,2,a&m-corpus christi,3394,16
387,ucla,3417,2,stanford,3390,2
388,ucla,3417,2,lsu,3261,3
389,ucla,3417,2,uconn,3163,3
390,ucla,3417,2,nc state,3301,3
391,ucla,3417,2,oregon state,3333,3
392,ucla,3417,2,virginia tech,3439,4
393,ucla,3417,2,kansas state,3243,4
394,ucla,3417,2,indiana,3231,4
395,ucla,3417,2,gonzaga,3211,4
396,ucla,3417,2,baylor,3124,5
397,ucla,3417,2,colorado,3160,5
398,ucla,3417,2,utah,3428,5
399,ucla,3417,2,oklahoma,3328,5
400,ucla,3417,2,tennessee,3397,6
401,ucla,3417,2,nebraska,3304,6
402,ucla,3417,2,syracuse,3393,6
403,ucla,3417,2,louisville,3257,6
404,ucla,3417,2,duke,3181,7
405,ucla,3417,2,ole miss,3279,7
406,ucla,3417,2,creighton,3166,7
407,ucla,3417,2,iowa state,3235,7
408,ucla,3417,2,kansas,3242,8
409,ucla,3417,2,alabama,3104,8
410,ucla,3417,2,north carolina,3314,8
411,ucla,3417,2,west virginia,3452,8
412,ucla,3417,2,michigan,3276,9
413,ucla,3417,2,florida state,3199,9
414,ucla,3417,2,michigan state,3277,9
415,ucla,3417,2,princeton,3343,9
416,ucla,3417,2,richmond,3350,10
417,ucla,3417,2,marquette,3266,10
418,ucla,3417,2,unlv,3424,10
419,ucla,3417,2,maryland,3268,10
420,ucla,3417,2,middle tennessee,3292,11
421,ucla,3417,2,texas a&m,3401,11
422,ucla,3417,2,green bay,3453,11
423,ucla,3417,2,auburn,3120,11
424,ucla,3417,2,arizona,3112,11
425,ucla,3417,2,florida gulf coast,3195,12
426,ucla,3417,2,south dakota state,3355,12
427,ucla,3417,2,columbia,3162,12
428,ucla,3417,2,vanderbilt,3435,12
429,ucla,3417,2,drake,3179,12
430,ucla,3417,2,portland,3339,13
431,ucla,3417,2,fairfield,3193,13
432,ucla,3417,2,marshall,3267,13
433,ucla,3417,2,uc irvine,3414,13
434,ucla,3417,2,chattanooga,3151,14
435,ucla,3417,2,jackson state,3238,14
436,ucla,3417,2,rice,3349,14
437,ucla,3417,2,eastern washington,3186,14
438,ucla,3417,2,maine,3263,15
439,ucla,3417,2,california baptist,3465,15
440,ucla,3417,2,kent state,3245,15
441,ucla,3417,2,norfolk state,3313,15
442,ucla,3417,2,sacred heart,3357,16
443,ucla,3417,2,holy cross,3221,16
444,ucla,3417,2,presbyterian,3342,16
445,ucla,3417,2,drexel,3180,16
446,ucla,3417,2,ut martin,3404,16
447,ucla,3417,2,a&m-corpus christi,3394,16
448,stanford,3390,2,lsu,3261,3
449,stanford,3390,2,uconn,3163,3
450,stanford,3390,2,nc state,3301,3
451,stanford,3390,2,oregon state,3333,3
452,stanford,3390,2,virginia tech,3439,4
453,stanford,3390,2,kansas state,3243,4
454,stanford,3390,2,indiana,3231,4
455,stanford,3390,2,gonzaga,3211,4
456,stanford,3390,2,baylor,3124,5
457,stanford,3390,2,colorado,3160,5
458,stanford,3390,2,utah,3428,5
459,stanford,3390,2,oklahoma,3328,5
460,stanford,3390,2,tennessee,3397,6
461,stanford,3390,2,nebraska,3304,6
462,stanford,3390,2,syracuse,3393,6
463,stanford,3390,2,louisville,3257,6
464,stanford,3390,2,duke,3181,7
465,stanford,3390,2,ole miss,3279,7
466,stanford,3390,2,creighton,3166,7
467,stanford,3390,2,iowa state,3235,7
468,stanford,3390,2,kansas,3242,8
469,stanford,3390,2,alabama,3104,8
470,stanford,3390,2,north carolina,3314,8
471,stanford,3390,2,west virginia,3452,8
472,stanford,3390,2,michigan,3276,9
473,stanford,3390,2,florida state,3199,9
474,stanford,3390,2,michigan state,3277,9
475,stanford,3390,2,princeton,3343,9
476,stanford,3390,2,richmond,3350,10
477,stanford,3390,2,marquette,3266,10
478,stanford,3390,2,unlv,3424,10
479,stanford,3390,2,maryland,3268,10
480,stanford,3390,2,middle tennessee,3292,11
481,stanford,3390,2,texas a&m,3401,11
482,stanford,3390,2,green bay,3453,11
483,stanford,3390,2,auburn,3120,11
484,stanford,3390,2,arizona,3112,11
485,stanford,3390,2,florida gulf coast,3195,12
486,stanford,3390,2,south dakota state,3355,12
487,stanford,3390,2,columbia,3162,12
488,stanford,3390,2,vanderbilt,3435,12
489,stanford,3390,2,drake,3179,12
490,stanford,3390,2,portland,3339,13
491,stanford,3390,2,fairfield,3193,13
492,stanford,3390,2,marshall,3267,13
493,stanford,3390,2,uc irvine,3414,13
494,stanford,3390,2,chattanooga,3151,14
495,stanford,3390,2,jackson state,3238,14
496,stanford,3390,2,rice,3349,14
497,stanford,3390,2,eastern washington,3186,14
498,stanford,3390,2,maine,3263,15
499,stanford,3390,2,california baptist,3465,15
500,stanford,3390,2,kent state,3245,15
501,stanford,3390,2,norfolk state,3313,15
502,stanford,3390,2,sacred heart,3357,16
503,stanford,3390,2,holy cross,3221,16
504,stanford,3390,2,presbyterian,3342,16
505,stanford,3390,2,drexel,3180,16
506,stanford,3390,2,ut martin,3404,16
507,stanford,3390,2,a&m-corpus christi,3394,16
508,lsu,3261,3,uconn,3163,3
509,lsu,3261,3,nc state,3301,3
510,lsu,3261,3,oregon state,3333,3
511,lsu,3261,3,virginia tech,3439,4
512,lsu,3261,3,kansas state,3243,4
513,lsu,3261,3,indiana,3231,4
514,lsu,3261,3,gonzaga,3211,4
515,lsu,3261,3,baylor,3124,5
516,lsu,3261,3,colorado,3160,5
517,lsu,3261,3,utah,3428,5
518,lsu,3261,3,oklahoma,3328,5
519,lsu,3261,3,tennessee,3397,6
520,lsu,3261,3,nebraska,3304,6
521,lsu,3261,3,syracuse,3393,6
522,lsu,3261,3,louisville,3257,6
523,lsu,3261,3,duke,3181,7
524,lsu,3261,3,ole miss,3279,7
525,lsu,3261,3,creighton,3166,7
526,lsu,3261,3,iowa state,3235,7
527,lsu,3261,3,kansas,3242,8
528,lsu,3261,3,alabama,3104,8
529,lsu,3261,3,north carolina,3314,8
530,lsu,3261,3,west virginia,3452,8
531,lsu,3261,3,michigan,3276,9
532,lsu,3261,3,florida state,3199,9
533,lsu,3261,3,michigan state,3277,9
534,lsu,3261,3,princeton,3343,9
535,lsu,3261,3,richmond,3350,10
536,lsu,3261,3,marquette,3266,10
537,lsu,3261,3,unlv,3424,10
538,lsu,3261,3,maryland,3268,10
539,lsu,3261,3,middle tennessee,3292,11
540,lsu,3261,3,texas a&m,3401,11
541,lsu,3261,3,green bay,3453,11
542,lsu,3261,3,auburn,3120,11
543,lsu,3261,3,arizona,3112,11
544,lsu,3261,3,florida gulf coast,3195,12
545,lsu,3261,3,south dakota state,3355,12
546,lsu,3261,3,columbia,3162,12
547,lsu,3261,3,vanderbilt,3435,12
548,lsu,3261,3,drake,3179,12
549,lsu,3261,3,portland,3339,13
550,lsu,3261,3,fairfield,3193,13
551,lsu,3261,3,marshall,3267,13
552,lsu,3261,3,uc irvine,3414,13
553,lsu,3261,3,chattanooga,3151,14
554,lsu,3261,3,jackson state,3238,14
555,lsu,3261,3,rice,3349,14
556,lsu,3261,3,eastern washington,3186,14
557,lsu,3261,3,maine,3263,15
558,lsu,3261,3,california baptist,3465,15
559,lsu,3261,3,kent state,3245,15
560,lsu,3261,3,norfolk state,3313,15
561,lsu,3261,3,sacred heart,3357,16
562,lsu,3261,3,holy cross,3221,16
563,lsu,3261,3,presbyterian,3342,16
564,lsu,3261,3,drexel,3180,16
565,lsu,3261,3,ut martin,3404,16
566,lsu,3261,3,a&m-corpus christi,3394,16
567,uconn,3163,3,nc state,3301,3
568,uconn,3163,3,oregon state,3333,3
569,uconn,3163,3,virginia tech,3439,4
570,uconn,3163,3,kansas state,3243,4
571,uconn,3163,3,indiana,3231,4
572,uconn,3163,3,gonzaga,3211,4
573,uconn,3163,3,baylor,3124,5
574,uconn,3163,3,colorado,3160,5
575,uconn,3163,3,utah,3428,5
576,uconn,3163,3,oklahoma,3328,5
577,uconn,3163,3,tennessee,3397,6
578,uconn,3163,3,nebraska,3304,6
579,uconn,3163,3,syracuse,3393,6
580,uconn,3163,3,louisville,3257,6
581,uconn,3163,3,duke,3181,7
582,uconn,3163,3,ole miss,3279,7
583,uconn,3163,3,creighton,3166,7
584,uconn,3163,3,iowa state,3235,7
585,uconn,3163,3,kansas,3242,8
586,uconn,3163,3,alabama,3104,8
587,uconn,3163,3,north carolina,3314,8
588,uconn,3163,3,west virginia,3452,8
589,uconn,3163,3,michigan,3276,9
590,uconn,3163,3,florida state,3199,9
591,uconn,3163,3,michigan state,3277,9
592,uconn,3163,3,princeton,3343,9
593,uconn,3163,3,richmond,3350,10
594,uconn,3163,3,marquette,3266,10
595,uconn,3163,3,unlv,3424,10
596,uconn,3163,3,maryland,3268,10
597,uconn,3163,3,middle tennessee,3292,11
598,uconn,3163,3,texas a&m,3401,11
599,uconn,3163,3,green bay,3453,11
600,uconn,3163,3,auburn,3120,11
601,uconn,3163,3,arizona,3112,11
602,uconn,3163,3,florida gulf coast,3195,12
603,uconn,3163,3,south dakota state,3355,12
604,uconn,3163,3,columbia,3162,12
605,uconn,3163,3,vanderbilt,3435,12
606,uconn,3163,3,drake,3179,12
607,uconn,3163,3,portland,3339,13
608,uconn,3163,3,fairfield,3193,13
609,uconn,3163,3,marshall,3267,13
610,uconn,3163,3,uc irvine,3414,13
611,uconn,3163,3,chattanooga,3151,14
612,uconn,3163,3,jackson state,3238,14
613,uconn,3163,3,rice,3349,14
614,uconn,3163,3,eastern washington,3186,14
615,uconn,3163,3,maine,3263,15
616,uconn,3163,3,california baptist,3465,15
617,uconn,3163,3,kent state,3245,15
618,uconn,3163,3,norfolk state,3313,15
619,uconn,3163,3,sacred heart,3357,16
620,uconn,3163,3,holy cross,3221,16
621,uconn,3163,3,presbyterian,3342,16
622,uconn,3163,3,drexel,3180,16
623,uconn,3163,3,ut martin,3404,16
624,uconn,3163,3,a&m-corpus christi,3394,16
625,nc state,3301,3,oregon state,3333,3
626,nc state,3301,3,virginia tech,3439,4
627,nc state,3301,3,kansas state,3243,4
628,nc state,3301,3,indiana,3231,4
629,nc state,3301,3,gonzaga,3211,4
630,nc state,3301,3,baylor,3124,5
631,nc state,3301,3,colorado,3160,5
632,nc state,3301,3,utah,3428,5
633,nc state,3301,3,oklahoma,3328,5
634,nc state,3301,3,tennessee,3397,6
635,nc state,3301,3,nebraska,3304,6
636,nc state,3301,3,syracuse,3393,6
637,nc state,3301,3,louisville,3257,6
638,nc state,3301,3,duke,3181,7
639,nc state,3301,3,ole miss,3279,7
640,nc state,3301,3,creighton,3166,7
641,nc state,3301,3,iowa state,3235,7
642,nc state,3301,3,kansas,3242,8
643,nc state,3301,3,alabama,3104,8
644,nc state,3301,3,north carolina,3314,8
645,nc state,3301,3,west virginia,3452,8
646,nc state,3301,3,michigan,3276,9
647,nc state,3301,3,florida state,3199,9
648,nc state,3301,3,michigan state,3277,9
649,nc state,3301,3,princeton,3343,9
650,nc state,3301,3,richmond,3350,10
651,nc state,3301,3,marquette,3266,10
652,nc state,3301,3,unlv,3424,10
653,nc state,3301,3,maryland,3268,10
654,nc state,3301,3,middle tennessee,3292,11
655,nc state,3301,3,texas a&m,3401,11
656,nc state,3301,3,green bay,3453,11
657,nc state,3301,3,auburn,3120,11
658,nc state,3301,3,arizona,3112,11
659,nc state,3301,3,florida gulf coast,3195,12
660,nc state,3301,3,south dakota state,3355,12
661,nc state,3301,3,columbia,3162,12
662,nc state,3301,3,vanderbilt,3435,12
663,nc state,3301,3,drake,3179,12
664,nc state,3301,3,portland,3339,13
665,nc state,3301,3,fairfield,3193,13
666,nc state,3301,3,marshall,3267,13
