HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Tennessee,1397,6,BYU,1140,6,
BYU,1140,6,Tennessee St,1398,15,
BYU,1140,6,Texas,1400,11,
BYU,1140,6,Texas A&M,1401,10,
Texas Tech,1403,5,BYU,1140,6,
BYU,1140,6,Troy,1407,13,
BYU,1140,6,UCF,1416,10,
BYU,1140,6,UCLA,1417,7,
BYU,1140,6,UMBC,1420,16,
BYU,1140,6,Utah St,1429,9,
Vanderbilt,1435,5,BYU,1140,6,
BYU,1140,6,VCU,1433,11,
BYU,1140,6,Villanova,1437,8,
Virginia,1438,3,BYU,1140,6,
Wisconsin,1458,5,BYU,1140,6,
BYU,1140,6,Wright St,1460,14,
Clemson,1155,8,Cal Baptist,1465,13,
Connecticut,1163,2,Cal Baptist,1465,13,
Duke,1181,1,Cal Baptist,1465,13,
Florida,1196,1,Cal Baptist,1465,13,
Cal Baptist,1465,13,Furman,1202,15,
Georgia,1208,8,Cal Baptist,1465,13,
Gonzaga,1211,3,Cal Baptist,1465,13,
Cal Baptist,1465,13,Hawaii,1218,13,
High Point,1219,12,Cal Baptist,1465,13,
Cal Baptist,1465,13,Hofstra,1220,13,
Houston,1222,2,Cal Baptist,1465,13,
Cal Baptist,1465,13,Howard,1224,16,
Cal Baptist,1465,13,Idaho,1225,15,
Illinois,1228,3,Cal Baptist,1465,13,
Iowa,1234,9,Cal Baptist,1465,13,
Iowa St,1235,2,Cal Baptist,1465,13,
Kansas,1242,4,Cal Baptist,1465,13,
Cal Baptist,1465,13,Kennesaw,1244,14,
Kentucky,1246,7,Cal Baptist,1465,13,
Cal Baptist,1465,13,Lehigh,1250,16,
Cal Baptist,1465,13,LIU Brooklyn,1254,16,
Louisville,1257,6,Cal Baptist,1465,13,
McNeese St,1270,12,Cal Baptist,1465,13,
Miami FL,1274,7,Cal Baptist,1465,13,
Miami OH,1275,11,Cal Baptist,1465,13,
Michigan,1276,1,Cal Baptist,1465,13,
Michigan St,1277,3,Cal Baptist,1465,13,
Missouri,1281,10,Cal Baptist,1465,13,
Cal Baptist,1465,13,N Dakota St,1295,14,
NC State,1301,11,Cal Baptist,1465,13,
Nebraska,1304,4,Cal Baptist,1465,13,
North Carolina,1314,6,Cal Baptist,1465,13,
Northern Iowa,1320,12,Cal Baptist,1465,13,
Ohio St,1326,8,Cal Baptist,1465,13,
Cal Baptist,1465,13,Penn,1335,14,
Cal Baptist,1465,13,Prairie View,1341,16,
Purdue,1345,2,Cal Baptist,1465,13,
Cal Baptist,1465,13,Queens NC,1474,15,
Santa Clara,1365,10,Cal Baptist,1465,13,
Cal Baptist,1465,13,Siena,1373,16,
SMU,1374,11,Cal Baptist,1465,13,
South Florida,1378,11,Cal Baptist,1465,13,
St John's,1385,5,Cal Baptist,1465,13,
St Louis,1387,9,Cal Baptist,1465,13,
St Mary's CA,1388,7,Cal Baptist,1465,13,
TCU,1395,9,Cal Baptist,1465,13,
Tennessee,1397,6,Cal Baptist,1465,13,
Cal Baptist,1465,13,Tennessee St,1398,15,
Texas,1400,11,Cal Baptist,1465,13,
Texas A&M,1401,10,Cal Baptist,1465,13,
Texas Tech,1403,5,Cal Baptist,1465,13,
Cal Baptist,1465,13,Troy,1407,13,
UCF,1416,10,Cal Baptist,1465,13,
UCLA,1417,7,Cal Baptist,1465,13,
Cal Baptist,1465,13,UMBC,1420,16,
Utah St,1429,9,Cal Baptist,1465,13,
Vanderbilt,1435,5,Cal Baptist,1465,13,
VCU,1433,11,Cal Baptist,1465,13,
Villanova,1437,8,Cal Baptist,1465,13,
Virginia,1438,3,Cal Baptist,1465,13,
Wisconsin,1458,5,Cal Baptist,1465,13,
Cal Baptist,1465,13,Wright St,1460,14,
Connecticut,1163,2,Clemson,1155,8,
Duke,1181,1,Clemson,1155,8,
Florida,1196,1,Clemson,1155,8,
Clemson,1155,8,Furman,1202,15,
Clemson,1155,8,Georgia,1208,8,
Gonzaga,1211,3,Clemson,1155,8,
Clemson,1155,8,Hawaii,1218,13,
Clemson,1155,8,High Point,1219,12,
Clemson,1155,8,Hofstra,1220,13,
Houston,1222,2,Clemson,1155,8,
Clemson,1155,8,Howard,1224,16,
Clemson,1155,8,Idaho,1225,15,
Illinois,1228,3,Clemson,1155,8,
Clemson,1155,8,Iowa,1234,9,
Iowa St,1235,2,Clemson,1155,8,
Kansas,1242,4,Clemson,1155,8,
Clemson,1155,8,Kennesaw,1244,14,
Kentucky,1246,7,Clemson,1155,8,
Clemson,1155,8,Lehigh,1250,16,
Clemson,1155,8,LIU Brooklyn,1254,16,
Louisville,1257,6,Clemson,1155,8,
Clemson,1155,8,McNeese St,1270,12,
Miami FL,1274,7,Clemson,1155,8,
Clemson,1155,8,Miami OH,1275,11,
Michigan,1276,1,Clemson,1155,8,
Michigan St,1277,3,Clemson,1155,8,
Clemson,1155,8,Missouri,1281,10,
Clemson,1155,8,N Dakota St,1295,14,
Clemson,1155,8,NC State,1301,11,
Nebraska,1304,4,Clemson,1155,8,
North Carolina,1314,6,Clemson,1155,8,
Clemson,1155,8,Northern Iowa,1320,12,
Clemson,1155,8,Ohio St,1326,8,
Clemson,1155,8,Penn,1335,14,
Clemson,1155,8,Prairie View,1341,16,
Purdue,1345,2,Clemson,1155,8,
Clemson,1155,8,Queens NC,1474,15,
Clemson,1155,8,Santa Clara,1365,10,
Clemson,1155,8,Siena,1373,16,
Clemson,1155,8,SMU,1374,11,
Clemson,1155,8,South Florida,1378,11,
St John's,1385,5,Clemson,1155,8,
Clemson,1155,8,St Louis,1387,9,
St Mary's CA,1388,7,Clemson,1155,8,
Clemson,1155,8,TCU,1395,9,
Tennessee,1397,6,Clemson,1155,8,
Clemson,1155,8,Tennessee St,1398,15,
Clemson,1155,8,Texas,1400,11,
Clemson,1155,8,Texas A&M,1401,10,
Texas Tech,1403,5,Clemson,1155,8,
Clemson,1155,8,Troy,1407,13,
Clemson,1155,8,UCF,1416,10,
UCLA,1417,7,Clemson,1155,8,
Clemson,1155,8,UMBC,1420,16,
Clemson,1155,8,Utah St,1429,9,
Vanderbilt,1435,5,Clemson,1155,8,
Clemson,1155,8,VCU,1433,11,
Clemson,1155,8,Villanova,1437,8,
Virginia,1438,3,Clemson,1155,8,
Wisconsin,1458,5,Clemson,1155,8,
Clemson,1155,8,Wright St,1460,14,
Duke,1181,1,Connecticut,1163,2,
Florida,1196,1,Connecticut,1163,2,
Connecticut,1163,2,Furman,1202,15,
Connecticut,1163,2,Georgia,1208,8,
Connecticut,1163,2,Gonzaga,1211,3,
Connecticut,1163,2,Hawaii,1218,13,
Connecticut,1163,2,High Point,1219,12,
Connecticut,1163,2,Hofstra,1220,13,
Houston,1222,2,Connecticut,1163,2,
Connecticut,1163,2,Howard,1224,16,
Connecticut,1163,2,Idaho,1225,15,
Connecticut,1163,2,Illinois,1228,3,
Connecticut,1163,2,Iowa,1234,9,
Connecticut,1163,2,Iowa St,1235,2,
Connecticut,1163,2,Kansas,1242,4,
Connecticut,1163,2,Kennesaw,1244,14,
Connecticut,1163,2,Kentucky,1246,7,
Connecticut,1163,2,Lehigh,1250,16,
Connecticut,1163,2,LIU Brooklyn,1254,16,
Connecticut,1163,2,Louisville,1257,6,
Connecticut,1163,2,McNeese St,1270,12,
Connecticut,1163,2,Miami FL,1274,7,
Connecticut,1163,2,Miami OH,1275,11,
Michigan,1276,1,Connecticut,1163,2,
Connecticut,1163,2,Michigan St,1277,3,
Connecticut,1163,2,Missouri,1281,10,
Connecticut,1163,2,N Dakota St,1295,14,
Connecticut,1163,2,NC State,1301,11,
Connecticut,1163,2,Nebraska,1304,4,
Connecticut,1163,2,North Carolina,1314,6,
Connecticut,1163,2,Northern Iowa,1320,12,
Connecticut,1163,2,Ohio St,1326,8,
Connecticut,1163,2,Penn,1335,14,
Connecticut,1163,2,Prairie View,1341,16,
Connecticut,1163,2,Purdue,1345,2,
Connecticut,1163,2,Queens NC,1474,15,
Connecticut,1163,2,Santa Clara,1365,10,
Connecticut,1163,2,Siena,1373,16,
Connecticut,1163,2,SMU,1374,11,
Connecticut,1163,2,South Florida,1378,11,
Connecticut,1163,2,St John's,1385,5,
Connecticut,1163,2,St Louis,1387,9,
Connecticut,1163,2,St Mary's CA,1388,7,
Connecticut,1163,2,TCU,1395,9,
Connecticut,1163,2,Tennessee,1397,6,
Connecticut,1163,2,Tennessee St,1398,15,
Connecticut,1163,2,Texas,1400,11,
Connecticut,1163,2,Texas A&M,1401,10,
Connecticut,1163,2,Texas Tech,1403,5,
Connecticut,1163,2,Troy,1407,13,
Connecticut,1163,2,UCF,1416,10,
Connecticut,1163,2,UCLA,1417,7,
Connecticut,1163,2,UMBC,1420,16,
Connecticut,1163,2,Utah St,1429,9,
Connecticut,1163,2,Vanderbilt,1435,5,
Connecticut,1163,2,VCU,1433,11,
Connecticut,1163,2,Villanova,1437,8,
Connecticut,1163,2,Virginia,1438,3,
Connecticut,1163,2,Wisconsin,1458,5,
Connecticut,1163,2,Wright St,1460,14,
Duke,1181,1,Florida,1196,1,
Duke,1181,1,Furman,1202,15,
Duke,1181,1,Georgia,1208,8,
Duke,1181,1,Gonzaga,1211,3,
Duke,1181,1,Hawaii,1218,13,
Duke,1181,1,High Point,1219,12,
Duke,1181,1,Hofstra,1220,13,
Duke,1181,1,Houston,1222,2,
Duke,1181,1,Howard,1224,16,
Duke,1181,1,Idaho,1225,15,
Duke,1181,1,Illinois,1228,3,
Duke,1181,1,Iowa,1234,9,
Duke,1181,1,Iowa St,1235,2,
Duke,1181,1,Kansas,1242,4,
Duke,1181,1,Kennesaw,1244,14,
Duke,1181,1,Kentucky,1246,7,
Duke,1181,1,Lehigh,1250,16,
Duke,1181,1,LIU Brooklyn,1254,16,
Duke,1181,1,Louisville,1257,6,
Duke,1181,1,McNeese St,1270,12,
Duke,1181,1,Miami FL,1274,7,
Duke,1181,1,Miami OH,1275,11,
Duke,1181,1,Michigan,1276,1,
Duke,1181,1,Michigan St,1277,3,
Duke,1181,1,Missouri,1281,10,
Duke,1181,1,N Dakota St,1295,14,
Duke,1181,1,NC State,1301,11,
Duke,1181,1,Nebraska,1304,4,
Duke,1181,1,North Carolina,1314,6,
Duke,1181,1,Northern Iowa,1320,12,
Duke,1181,1,Ohio St,1326,8,
Duke,1181,1,Penn,1335,14,
Duke,1181,1,Prairie View,1341,16,
Duke,1181,1,Purdue,1345,2,
Duke,1181,1,Queens NC,1474,15,
Duke,1181,1,Santa Clara,1365,10,
Duke,1181,1,Siena,1373,16,
Duke,1181,1,SMU,1374,11,
Duke,1181,1,South Florida,1378,11,
Duke,1181,1,St John's,1385,5,
Duke,1181,1,St Louis,1387,9,
Duke,1181,1,St Mary's CA,1388,7,
Duke,1181,1,TCU,1395,9,
Duke,1181,1,Tennessee,1397,6,
Duke,1181,1,Tennessee St,1398,15,
Duke,1181,1,Texas,1400,11,
Duke,1181,1,Texas A&M,1401,10,
Duke,1181,1,Texas Tech,1403,5,
Duke,1181,1,Troy,1407,13,
Duke,1181,1,UCF,1416,10,
Duke,1181,1,UCLA,1417,7,
Duke,1181,1,UMBC,1420,16,
Duke,1181,1,Utah St,1429,9,
Duke,1181,1,Vanderbilt,1435,5,
Duke,1181,1,VCU,1433,11,
Duke,1181,1,Villanova,1437,8,
Duke,1181,1,Virginia,1438,3,
Duke,1181,1,Wisconsin,1458,5,
Duke,1181,1,Wright St,1460,14,
Florida,1196,1,Furman,1202,15,
Florida,1196,1,Georgia,1208,8,
Florida,1196,1,Gonzaga,1211,3,
Florida,1196,1,Hawaii,1218,13,
Florida,1196,1,High Point,1219,12,
Florida,1196,1,Hofstra,1220,13,
Florida,1196,1,Houston,1222,2,
Florida,1196,1,Howard,1224,16,
Florida,1196,1,Idaho,1225,15,
Florida,1196,1,Illinois,1228,3,
Florida,1196,1,Iowa,1234,9,
Florida,1196,1,Iowa St,1235,2,
Florida,1196,1,Kansas,1242,4,
Florida,1196,1,Kennesaw,1244,14,
Florida,1196,1,Kentucky,1246,7,
Florida,1196,1,Lehigh,1250,16,
Florida,1196,1,LIU Brooklyn,1254,16,
Florida,1196,1,Louisville,1257,6,
Florida,1196,1,McNeese St,1270,12,
Florida,1196,1,Miami FL,1274,7,
Florida,1196,1,Miami OH,1275,11,
Michigan,1276,1,Florida,1196,1,
Florida,1196,1,Michigan St,1277,3,
Florida,1196,1,Missouri,1281,10,
Florida,1196,1,N Dakota St,1295,14,
Florida,1196,1,NC State,1301,11,
Florida,1196,1,Nebraska,1304,4,
Florida,1196,1,North Carolina,1314,6,
Florida,1196,1,Northern Iowa,1320,12,
Florida,1196,1,Ohio St,1326,8,
Florida,1196,1,Penn,1335,14,
Florida,1196,1,Prairie View,1341,16,
Florida,1196,1,Purdue,1345,2,
Florida,1196,1,Queens NC,1474,15,
Florida,1196,1,Santa Clara,1365,10,
Florida,1196,1,Siena,1373,16,
Florida,1196,1,SMU,1374,11,
Florida,1196,1,South Florida,1378,11,
Florida,1196,1,St John's,1385,5,
Florida,1196,1,St Louis,1387,9,
Florida,1196,1,St Mary's CA,1388,7,
Florida,1196,1,TCU,1395,9,
Florida,1196,1,Tennessee,1397,6,
Florida,1196,1,Tennessee St,1398,15,
Florida,1196,1,Texas,1400,11,
Florida,1196,1,Texas A&M,1401,10,
Florida,1196,1,Texas Tech,1403,5,
Florida,1196,1,Troy,1407,13,
Florida,1196,1,UCF,1416,10,
Florida,1196,1,UCLA,1417,7,
Florida,1196,1,UMBC,1420,16,
Florida,1196,1,Utah St,1429,9,
Florida,1196,1,Vanderbilt,1435,5,
Florida,1196,1,VCU,1433,11,
Florida,1196,1,Villanova,1437,8,
Florida,1196,1,Virginia,1438,3,
Florida,1196,1,Wisconsin,1458,5,
Florida,1196,1,Wright St,1460,14,
Georgia,1208,8,Furman,1202,15,
Gonzaga,1211,3,Furman,1202,15,
Hawaii,1218,13,Furman,1202,15,
High Point,1219,12,Furman,1202,15,
Hofstra,1220,13,Furman,1202,15,
Houston,1222,2,Furman,1202,15,
Furman,1202,15,Howard,1224,16,
Idaho,1225,15,Furman,1202,15,
Illinois,1228,3,Furman,1202,15,
Iowa,1234,9,Furman,1202,15,
Iowa St,1235,2,Furman,1202,15,
Kansas,1242,4,Furman,1202,15,
Kennesaw,1244,14,Furman,1202,15,
Kentucky,1246,7,Furman,1202,15,
Furman,1202,15,Lehigh,1250,16,
Furman,1202,15,LIU Brooklyn,1254,16,
Louisville,1257,6,Furman,1202,15,
McNeese St,1270,12,Furman,1202,15,
